"date	",confirmedCount ,suspectedCount  ,curedCount,deadCount
2020-1-23,0,,0,0
2020-1-24,2,,0,0
2020-1-25,3,,0,0
2020-1-26,3,,0,0
2020-1-27,3,,0,0
2020-1-28,4,,0,0
2020-1-29,5,,0,0
2020-1-30,5,,0,0
2020-1-31,5,,0,0
2020-2-1,6,,0,0
2020-2-2,6,,0,0
2020-2-3,6,,0,0
2020-2-4,6,,0,0
2020-2-5,6,,0,0
2020-2-6,6,,0,0
2020-2-7,6,,0,0
2020-2-8,11,,0,0
2020-2-9,11,,0,0
2020-2-10,11,,0,0
2020-2-11,11,,0,0
2020-2-12,11,,2,0
2020-2-13,11,,2,0
2020-2-14,11,,2,0
2020-2-15,12,,4,1
2020-2-16,12,,4,1
2020-2-17,12,,4,1
2020-2-18,12,,4,1
2020-2-19,12,,4,1
2020-2-20,12,,4,1
2020-2-21,12,,4,1
2020-2-22,12,,4,1
2020-2-23,12,,4,1
2020-2-24,12,,4,1
2020-2-25,14,,11,1
2020-2-26,18,,11,2
2020-2-27,38,,11,2
2020-2-28,57,,11,2
2020-2-29,100,,12,2
2020-3-1,130,,12,2
2020-3-2,191,,12,3
2020-3-3,204,,12,4
2020-3-4,285,,12,4
"2020-3-5	",377,,12,6
2020-3-6,653,,12,9
2020-3-7,949,,12,11
2020-3-8,1126,,12,19
2020-3-9,1209,,12,19
2020-3-10,1784,,12,33
2020-3-11,2281,,12,48
2020-3-12,2281,,12,48
2020-3-13,3661,,12,79
2020-3-14,4469,,12,91
2020-3-15,4499,,12,91
2020-3-16,6633,,12,148
2020-3-17,7652,,12,148
2020-3-18,9043,,12,148
2020-3-19,10871,,12,243
2020-3-20,12612,,12,450
2020-3-21,14282,,12,562
2020-3-22,16018,,2200,674
