"date	",confirmedCount ,suspectedCount  ,curedCount,deadCount
23-Jan,0,,0,0
24-Jan,0,,0,0
25-Jan,0,,0,0
26-Jan,0,,0,0
27-Jan,1,,0,0
28-Jan,4,,0,0
29-Jan,4,,0,0
30-Jan,4,,0,0
31-Jan,5,,0,0
1-Feb,8,,0,0
2-Feb,10,,0,0
3-Feb,12,,0,0
4-Feb,12,,0,0
5-Feb,12,,0,0
6-Feb,12,,0,0
7-Feb,13,,0,0
8-Feb,13,,0,0
9-Feb,14,,0,0
10-Feb,14,,0,0
11-Feb,16,,0,0
12-Feb,16,,0,0
13-Feb,16,,1,0
14-Feb,16,,1,0
15-Feb,16,,1,0
16-Feb,16,,1,0
17-Feb,16,,1,0
18-Feb,16,,12,0
19-Feb,16,,12,0
20-Feb,16,,12,0
21-Feb,16,,14,0
22-Feb,16,,14,0
23-Feb,16,,14,0
24-Feb,16,,14,0
25-Feb,17,,14,0
26-Feb,27,,15,0
27-Feb,46,,16,0
28-Feb,48,,16,0
29-Feb,79,,16,0
1-Mar,130,,16,0
2-Mar,159,,16,0
3-Mar,196,,16,0
4-Mar,262,,16,0
"2020-3-5	",482,,16,0
2020-3-6,670,,17,0
2020-3-7,799,,18,0
2020-3-8,1040,,18,0
2020-3-9,1176,,18,2
2020-3-10,1457,,18,2
2020-3-11,1908,,25,3
2020-3-12,2078,,25,3
2020-3-13,3675,,46,7
2020-3-14,4585,,46,9
2020-3-15,5795,,46,11
2020-3-16,7272,,67,17
2020-3-17,9257,,67,24
2020-3-18,12327,,105,28
2020-3-19,15320,,113,44
2020-3-20,19848,,180,67
2020-3-21,22213,,233,84
2020-3-22,24873,,266,94
