"date	",confirmedCount ,suspectedCount ,curedCount ,deadCount
2020-1-23,0,0,0,0
2020-1-24,0,0,0,0
2020-1-25,0,0,0,0
2020-1-26,0,0,0,0
2020-1-27,0,0,0,0
2020-1-28,0,0,0,0
2020-1-29,0,0,0,0
2020-1-30,0,0,0,0
2020-1-31,2,0,0,0
2020-2-1,2,0,0,0
2020-2-2,2,0,0,0
2020-2-3,2,0,0,0
2020-2-4,2,0,0,0
2020-2-5,2,0,0,0
2020-2-6,2,0,0,0
2020-2-7,3,0,0,0
2020-2-8,3,0,0,0
2020-2-9,3,0,0,0
2020-2-10,3,0,0,0
2020-2-11,3,0,0,0
2020-2-12,3,0,0,0
2020-2-13,3,0,0,0
2020-2-14,3,0,0,0
2020-2-15,3,0,0,0
2020-2-16,3,0,0,0
2020-2-17,3,0,0,0
2020-2-18,3,0,0,0
2020-2-19,3,0,0,0
2020-2-20,3,0,0,0
2020-2-21,20,0,0,1
2020-2-22,62,0,1,2
2020-2-23,155,0,2,3
2020-2-24,229,0,1,7
2020-2-25,322,0,1,10
2020-2-26,453,0,3,12
2020-2-27,655,0,45,17
2020-2-28,888,0,46,21
2020-2-29,1128,0,46,29
2020-3-1,1694,0,83,34
2020-3-2,2036,0,149,52
2020-3-3,2502,0,160,79
2020-3-4,3089,0,276,107
"2020-3-5	",3858,,414,148
2020-3-6,4636,,523,197
2020-3-7,5883,,589,233
2020-3-8,7375,,622,366
2020-3-9,9172,,724,463
2020-3-10,10149,,724,631
2020-3-11,12462,,1045,827
2020-3-12,15113,,1258,1016
2020-3-13,17660,,1439,1266
2020-3-14,21157,,1966,1441
2020-3-15,24747,,2335,1809
2020-3-16,27980,,2749,2158
2020-3-17,31506,,2941,2503
2020-3-18,35713,,4025,2978
2020-3-19,41035,,4440,3405
2020-3-20,47021,,4440,4032
2020-3-21,53578,,6072,4825
2020-3-22,59138,,7024,5476
