"date	",confirmedCount ,suspectedCount  ,curedCount,deadCount,AllConfirm
2020-1-23,1,0,0,0,
2020-1-24,2,0,0,0,
2020-1-25,2,0,0,0,
2020-1-26,4,0,1,0,
2020-1-27,4,0,1,0,
2020-1-28,7,0,1,0,
2020-1-29,7,0,1,0,
2020-1-30,11,0,1,0,
2020-1-31,15,0,1,0,
2020-2-1,20,0,1,0,
2020-2-2,20,0,1,0,
2020-2-3,20,0,1,0,
2020-2-4,22,0,1,0,
2020-2-5,22,0,1,0,
2020-2-6,25,0,1,0,
2020-2-7,25,0,1,0,
2020-2-8,26,0,1,0,
2020-2-9,26,0,1,0,
2020-2-10,26,0,4,0,
2020-2-11,28,0,9,0,
2020-2-12,28,0,9,0,
2020-2-13,29,0,9,1,
2020-2-14,43,0,9,1,
2020-2-15,45,0,12,1,
2020-2-16,59,0,12,1,
2020-2-17,66,0,12,1,
2020-2-18,74,0,13,1,
2020-2-19,84,0,18,1,
2020-2-20,94,0,18,1,
2020-2-21,105,0,22,1,
2020-2-22,122,0,22,1,
2020-2-23,147,0,22,1,
2020-2-24,159,0,22,1,
2020-2-25,170,0,22,1,
2020-2-26,189,0,22,2,
2020-2-27,214,0,22,4,
2020-2-28,228,0,22,4,
2020-2-29,241,0,32,5,240
2020-3-1,256,0,32,6,
2020-3-2,274,0,32,6,
2020-3-3,293,0,43,6,986
2020-3-4,331,0,43,6,
"2020-3-5	",360,0,43,6,1037
2020-3-6,420,,46,6,
2020-3-7,461,,76,6,
2020-3-8,502,,76,6,
2020-3-9,511,,76,10,
2020-3-10,581,,101,10,
2020-3-11,639,,118,15,
2020-3-12,639,,118,16,
2020-3-13,701,,118,19,
2020-3-14,773,,118,22,
2020-3-15,839,,118,22,
2020-3-16,825,,144,27,
2020-3-17,878,,144,29,
2020-3-18,889,,144,29,
2020-3-19,924,,150,29,
2020-3-20,963,,191,33,
2020-3-21,1007,,232,35,
2020-3-22,1086,,235,40,
