"date	",confirmedCount ,suspectedCount ,curedCount ,deadCount
2020-1-23,1,0,0,0
2020-1-24,2,0,0,0
2020-1-25,2,0,0,0
2020-1-26,3,0,0,0
2020-1-27,4,0,0,0
2020-1-28,4,0,0,0
2020-1-29,4,0,0,0
2020-1-30,4,0,0,0
2020-1-31,11,0,0,0
2020-2-1,12,0,0,0
2020-2-2,15,0,0,0
2020-2-3,15,0,0,0
2020-2-4,16,0,0,0
2020-2-5,19,0,0,0
2020-2-6,23,0,0,0
2020-2-7,24,0,1,0
2020-2-8,24,0,1,0
2020-2-9,25,0,3,0
2020-2-10,27,0,3,0
2020-2-11,28,0,3,0
2020-2-12,28,0,7,0
2020-2-13,28,0,7,0
2020-2-14,28,0,7,0
2020-2-15,28,0,9,0
2020-2-16,29,0,9,0
2020-2-17,30,0,10,0
2020-2-18,31,0,12,0
2020-2-19,31,0,12,0
2020-2-20,104,0,16,1
2020-2-21,204,0,16,2
2020-2-22,433,0,16,2
2020-2-23,602,0,18,6
2020-2-24,833,0,18,8
2020-2-25,977,0,22,10
2020-2-26,1261,0,22,12
2020-2-27,1766,0,22,13
2020-2-28,2337,0,22,13
2020-2-29,3150,0,27,16
2020-3-1,3736,0,30,17
2020-3-2,4335,0,30,28
2020-3-3,5186,0,30,28
2020-3-4,5621,0,41,35
"2020-3-5	",6088,0,41,35
2020-3-6,6593,,135,42
2020-3-7,7041,,135,44
2020-3-8,7314,,118,50
2020-3-9,7478,,118,53
2020-3-10,7513,,247,54
2020-3-11,7755,,288,60
2020-3-12,7869,,333,66
2020-3-13,7979,,510,66
2020-3-14,8086,,510,72
2020-3-15,8162,,510,75
2020-3-16,8236,,1137,75
2020-3-17,8320,,1407,81
2020-3-18,8413,,1540,84
2020-3-19,8565,,1540,91
2020-3-20,8652,,1540,94
2020-3-21,8799,,1540,102
2020-3-22,8897,,2909,104
