date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,2,0,0
2020-3-1,2,0,0
2020-3-2,2,0,0
2020-3-3,2,0,0
2020-3-4,4,0,0
2020-3-5,4,0,0
2020-3-6,13,0,0
2020-3-7,13,0,0
2020-3-8,20,0,0
2020-3-9,25,0,0
2020-3-10,31,0,0
2020-3-11,38,0,0
2020-3-12,52,0,0
2020-3-13,151,0,0
2020-3-14,151,0,0
2020-3-15,162,0,0
2020-3-16,200,1,0
2020-3-17,321,2,1
2020-3-18,372,2,3
2020-3-19,621,2,6
2020-3-20,793,2,11
2020-3-21,1021,2,15
2020-3-22,1546,2,25
2020-3-23,1924,2,34
2020-3-24,2247,2,46
2020-3-25,2554,2,59
2020-3-26,2985,6,77
2020-3-27,3417,6,92
2020-3-28,3904,6,111
2020-3-29,4256,6,136
2020-3-30,4579,120,159
2020-3-31,5717,127,201
2020-4-1,6836,127,240
2020-4-2,8044,127,324
2020-4-3,9056,127,359
2020-4-4,10360,127,445
2020-4-5,11130,127,486
2020-4-6,12161,127,564
2020-4-7,14034,127,686
2020-4-8,16170,127,819
2020-4-9,18092,173,950
2020-4-10,19638,173,1057
2020-4-11,20727,173,1124
2020-4-12,22192,173,1223
2020-4-13,23430,173,1328
2020-4-14,25262,3046,1532
2020-4-15,28320,14026,1736
2020-4-16,30425,14026,1924
2020-4-17,33682,14026,2141
2020-4-18,36658,14026,2354
2020-4-19,38654,22130,2462
2020-4-20,40743,22130,2587
2020-4-21,43079,22991,2741
2020-4-22,45757,25318,2906
2020-4-23,50036,26573,3331
2020-4-24,54043,27655,3704
2020-4-25,59324,29160,4057
2020-4-26,63100,30152,4286
2020-4-27,67446,31142,4603
2020-4-28,73235,32544,5083
2020-4-29,79685,34132,5513
2020-4-30,87187,35935,6006
2020-5-1,92202,38039,6412
2020-5-2,97100,40937,6761
2020-5-3,101826,42991,7051
2020-5-4,108620,45815,7367
2020-5-5,115455,48221,7938
2020-5-6,126611,51370,8588
2020-5-7,135773,55350,9190
2020-5-8,146894,59297,10017
2020-5-9,156061,61685,10656
2020-5-10,162699,64957,11123
2020-5-11,169594,67384,11653
2020-5-12,178214,72597,12461
2020-5-13,190137,78424,13240
2020-5-14,203165,79479,13999
2020-5-15,220291,84970,14962
2020-5-16,233511,89672,15662
2020-5-17,241080,94122,16118
2020-5-18,255368,100459,16853
2020-5-19,271885,106794,17983
2020-5-20,291579,116683,18859
2020-5-21,310087,125960,20047
2020-5-22,330890,135430,21048
2020-5-23,347398,142587,22013
2020-5-24,363211,149911,22666
2020-5-25,374898,153833,23473
2020-5-26,391222,158593,24512
2020-5-27,411821,166647,25598
2020-5-28,438238,177604,26754
2020-5-29,465166,189476,27878
2020-5-30,498440,200892,28834
2020-5-31,514849,206555,29314
2020-6-1,526447,211080,29937
2020-6-2,555383,223638,31199
2020-6-3,584016,238617,32548
2020-6-4,614941,254963,34021
2020-6-5,645771,266940,35026
2020-6-6,672846,277149,35930
2020-6-7,691758,283952,36455
2020-6-8,707412,378257,37134
2020-6-9,739503,396737,38406
2020-6-10,772416,413916,39680
2020-6-11,802828,429965,40919
2020-6-12,828810,445123,41828
2020-6-13,850514,459436,42720
2020-6-14,867624,469141,43332
2020-6-15,888271,477709,43959
2020-6-16,923189,490005,45241
2020-6-17,955377,521046,46510
2020-6-18,978142,534580,47748
2020-6-19,1032913,551631,48954
2020-6-20,1067579,576779,49976
2020-6-21,1083341,588118,50591
2020-6-22,1106470,601736,51271
2020-6-23,1145906,627963,52645
2020-6-24,1188631,660469,53830
2020-6-25,1228114,679524,54971
2020-6-26,1274974,702399,55961
2020-6-27,1313667,727715,57070
2020-6-28,1344143,746018,57622
2020-6-29,1368195,757811,58314
2020-6-30,1402041,788318,59594
2020-7-1,1448753,817642,60632
2020-7-2,1496858,957692,61884
2020-7-3,1539081,984615,63174
2020-7-4,1577004,990731,64265
2020-7-5,1603055,1029045,64867
2020-7-6,1623284,1062542,65487
2020-7-7,1668589,1107012,66741
2020-7-8,1713160,1139844,67964
2020-7-9,1755779,1171447,69184
2020-7-10,1800827,1217361,70398
2020-7-11,1839850,1244088,71469
2020-7-12,1864681,1264843,72100
2020-7-13,1884967,1291251,72833
2020-7-14,1926824,1323425,74133
2020-7-15,1966748,1350098,75366
2020-7-16,2012151,1397531,76688
2020-7-17,2046328,1428520,77851
2020-7-18,2074860,1447408,78772
2020-7-19,2098389,1459072,79488
2020-7-20,2118646,1514300,80120
2020-7-21,2159654,1555339,81487
2020-7-22,2227514,1591975,82771
2020-7-23,2287475,1620313,84082
2020-7-24,2343366,1693214,85238
2020-7-25,2394513,1785359,86449
2020-7-26,2419091,1812913,87004
2020-7-27,2442375,1846641,87618
2020-7-28,2483191,1868749,88539
2020-7-29,2552265,1922802,90134
2020-7-30,2610102,1956807,91263
2020-7-31,2662485,2008854,92475
2020-8-1,2707877,2037982,93563
2020-8-2,2733677,2062876,94104
2020-8-3,2750318,2098976,94665
2020-8-4,2801921,2157484,95819
2020-8-5,2859073,2190361,97256
2020-8-6,2912212,2230542,98493
2020-8-7,2962442,2272299,99572
2020-8-8,3012412,2321537,100477
2020-8-9,3035422,2356983,101049
2020-8-10,3057470,2390830,101752
2020-8-11,3109630,2449338,103026
2020-8-12,3164785,2506228,104201
2020-8-13,3224876,2521100,105463
2020-8-14,3275520,2616981,106523
2020-8-15,3317096,2622878,107232
2020-8-16,3340197,2655017,107852
2020-8-17,3359570,2699080,108536
2020-8-18,3407354,2751246,109888
2020-8-19,3456652,2801931,111100
2020-8-20,3501975,2844318,112304
2020-8-21,3532330,2855558,113358
2020-8-22,3582362,2913966,114250
2020-8-23,3605783,2947784,114744
2020-8-24,3622861,2976256,115309
2020-8-25,3669995,3032551,116580
2020-8-26,3717156,3082447,117665
2020-8-27,3761391,3122846,118649
2020-8-28,3804803,3158783,119504
2020-8-29,3846153,3202185,120262
2020-8-30,3862311,3237615,120828
2020-8-31,3908272,3268591,121381
2020-9-1,3950931,3345240,122596
2020-9-2,3997865,3387309,123780
2020-9-3,4041638,3429435,124614
2020-9-4,4091801,3464278,125502
2020-9-5,4123000,3498999,126203
2020-9-6,4137521,3522155,126650
2020-9-7,4147794,3549201,126960
2020-9-8,4162073,3572421,127464
2020-9-9,4197889,3611632,128539
2020-9-10,4238446,3657701,129522
2020-9-11,4282164,3695158,130396
2020-9-12,4315687,3723206,131210
2020-9-13,4330455,3723206,131625
2020-9-14,4345610,3770138,132006
2020-9-15,4382263,3811505,133119
2020-9-16,4419083,3845464,134106
2020-9-17,4455386,3873934,134935
2020-9-18,4495183,3897539,135793
2020-9-19,4528240,3936893,136532
2020-9-20,4544629,3963446,136895
