date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,3,0,0
2020-3-15,6,0,0
2020-3-16,6,0,0
2020-3-17,7,0,0
2020-3-18,7,0,0
2020-3-19,11,0,0
2020-3-20,16,0,0
2020-3-21,19,0,1
2020-3-22,23,0,1
2020-3-23,27,0,2
2020-3-24,53,0,2
2020-3-25,93,0,4
2020-3-26,132,1,4
2020-3-27,137,2,4
2020-3-28,141,2,5
2020-3-29,152,2,5
2020-3-30,152,2,5
2020-3-31,161,31,5
2020-4-1,195,31,5
2020-4-2,204,31,5
2020-4-3,205,31,5
2020-4-4,205,31,5
2020-4-5,214,31,5
2020-4-6,214,31,5
2020-4-7,287,31,5
2020-4-8,313,34,6
2020-4-9,378,3,6
2020-4-10,378,4,6
2020-4-11,408,4,8
2020-4-12,566,4,8
2020-4-13,566,4,8
2020-4-14,636,17,8
2020-4-15,636,17,8
2020-4-16,641,83,8
2020-4-17,641,83,8
2020-4-18,834,99,9
2020-4-19,1042,99,9
2020-4-20,1042,99,9
2020-4-21,1042,99,9
2020-4-22,1154,99,9
2020-4-23,1154,99,9
2020-4-24,1279,134,10
2020-4-25,1279,134,10
2020-4-26,1550,155,11
2020-4-27,1550,155,11
2020-4-28,1671,188,16
2020-4-29,1671,188,16
2020-4-30,2074,212,17
2020-5-1,2074,212,17
2020-5-2,2169,229,18
2020-5-3,2169,229,18
2020-5-4,2719,294,18
2020-5-5,2719,294,18
2020-5-6,3091,294,18
2020-5-7,3091,303,18
2020-5-8,4012,323,18
2020-5-9,4263,378,22
2020-5-10,4263,378,22
2020-5-11,4700,494,22
2020-5-12,5127,494,22
2020-5-13,5408,514,24
2020-5-14,5530,674,24
2020-5-15,5638,1460,28
2020-5-16,5735,1754,29
2020-5-17,5735,1754,29
2020-5-18,5735,1754,29
2020-5-19,6096,1773,31
2020-5-20,6269,1898,31
2020-5-21,6269,1898,31
2020-5-22,6486,1951,31
2020-5-23,6617,1978,31
2020-5-24,6683,1998,32
2020-5-25,6808,2070,32
2020-5-26,7117,2317,34
2020-5-27,7303,2412,34
2020-5-28,7303,2412,34
2020-5-29,7616,2421,34
2020-5-30,7768,2540,35
2020-5-31,8070,2947,36
2020-6-1,8070,2947,36
2020-6-2,8297,2986,38
2020-6-3,8548,3132,38
2020-6-4,8885,3189,38
2020-6-5,9168,3457,42
2020-6-6,9462,3547,44
2020-6-7,9638,3636,44
2020-6-8,9910,3645,48
2020-6-9,10201,3755,48
2020-6-10,10201,3755,48
2020-6-11,10358,3824,48
2020-6-12,10856,3921,48
2020-6-13,11118,3979,48
2020-6-14,11964,4258,54
2020-6-15,11964,4258,54
2020-6-16,12193,4326,58
2020-6-17,12590,4410,66
2020-6-18,12929,4468,66
2020-6-19,13203,4548,70
2020-6-20,13717,10074,85
2020-6-21,14154,10473,85
2020-6-22,14154,10473,85
2020-6-23,14568,10907,95
2020-6-24,15013,11078,95
2020-6-25,15473,11431,95
2020-6-26,15834,11755,103
2020-6-27,16431,12257,103
2020-6-28,16742,12720,112
2020-6-29,17351,12994,112
2020-6-30,17741,13268,112
2020-7-1,18134,13550,117
2020-7-2,18134,13550,117
2020-7-3,19388,14330,117
2020-7-4,19388,14330,117
2020-7-5,20085,14870,122
2020-7-6,21077,16070,129
2020-7-7,21968,17156,129
2020-7-8,22822,17564,129
2020-7-9,23463,18622,129
2020-7-10,23834,19212,135
2020-7-11,24248,19831,135
2020-7-12,24518,20187,139
2020-7-13,24988,21067,139
2020-7-14,24988,21067,139
2020-7-15,25430,21511,139
2020-7-16,26125,22270,139
2020-7-17,26572,22915,144
2020-7-18,27060,23044,145
2020-7-19,27667,23249,148
2020-7-20,28430,24901,153
2020-7-21,28989,25331,153
2020-7-22,29672,26090,153
2020-7-23,29672,26090,153
2020-7-24,31057,27801,161
2020-7-25,31851,28438,161
2020-7-26,32969,29494,168
2020-7-27,33624,29801,168
2020-7-28,34406,30621,168
2020-7-29,35142,31286,175
2020-7-30,35142,31286,175
2020-7-31,35501,32096,182
2020-8-1,37014,33365,182
2020-8-2,37014,33365,182
2020-8-3,37812,34313,191
2020-8-4,37812,34313,191
2020-8-5,39075,35563,199
2020-8-6,39642,36384,199
2020-8-7,40097,36638,206
2020-8-8,40533,37702,206
2020-8-9,41003,38330,215
2020-8-10,41212,38727,215
2020-8-11,41404,39055,215
2020-8-12,41572,39320,223
2020-8-13,41725,39495,223
2020-8-14,41847,39718,223
2020-8-15,42210,40147,231
2020-8-16,42532,40362,231
2020-8-17,42653,40567,239
2020-8-18,42993,40796,248
2020-8-19,43094,40963,256
2020-8-20,43260,41276,261
2020-8-21,43325,41408,261
2020-8-22,43325,41408,261
2020-8-23,43505,41532,261
2020-8-24,43622,41695,263
2020-8-25,43717,41843,270
2020-8-26,43769,42048,270
2020-8-27,43841,42246,270
2020-8-28,43949,42392,270
2020-8-29,44118,42581,270
2020-8-30,44205,42777,276
2020-8-31,44298,42963,276
2020-9-1,44460,43121,276
2020-9-2,44658,43478,276
2020-9-3,44713,43577,280
2020-9-4,44777,43693,283
2020-9-5,44777,43693,283
2020-9-6,44777,43693,283
2020-9-7,44869,43801,283
2020-9-8,45012,43898,283
2020-9-9,45313,44188,283
2020-9-10,45313,44188,283
2020-9-11,45388,44267,285
2020-9-12,45434,44342,286
2020-9-13,45434,44342,286
2020-9-14,45601,44679,294
2020-9-15,45655,44797,294
2020-9-16,45655,44797,294
2020-9-17,45714,44896,294
2020-9-18,45760,44973,295
2020-9-19,45877,45081,297
2020-9-20,46004,45153,297
2020-9-21,46062,45258,297
2020-9-22,46062,45258,297
2020-9-23,46153,45299,299
2020-9-24,46222,45417,299
2020-9-25,46222,45417,299
2020-9-26,46222,45417,299
2020-9-27,46387,45618,299
2020-9-28,46444,45646,299
2020-9-29,46482,45651,301
2020-9-30,46626,45757,301
