date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,2
2020-2-20,0,0,2
2020-2-21,0,0,4
2020-2-22,0,0,5
2020-2-23,0,0,8
2020-2-24,0,0,12
2020-2-25,0,0,16
2020-2-26,49,49,19
2020-2-27,49,49,26
2020-2-28,73,73,34
2020-2-29,123,123,43
2020-3-1,175,175,54
2020-3-2,291,291,66
2020-3-3,291,291,77
2020-3-4,552,552,92
2020-3-5,739,739,107
2020-3-6,913,913,124
2020-3-7,1669,1669,145
2020-3-8,2134,2134,194
2020-3-9,2394,2394,237
2020-3-10,2731,2731,291
2020-3-11,2959,2959,354
2020-3-12,2959,2959,429
2020-3-13,2959,2959,514
2020-3-14,2959,2959,611
2020-3-15,4590,4590,724
2020-3-16,4590,4590,853
2020-3-17,5389,5389,988
2020-3-18,5389,5389,1135
2020-3-19,5710,5710,1284
2020-3-20,6745,6745,1433
2020-3-21,7635,7635,1556
2020-3-22,7931,7931,1685
2020-3-23,7931,7931,1812
2020-3-24,8913,8913,1934
2020-3-25,9625,9625,2077
2020-3-26,10457,10457,2234
2020-3-27,11133,11133,2378
2020-3-28,11679,11679,2517
2020-3-29,12391,12391,2640
2020-3-30,13911,13911,2757
2020-3-31,14656,14656,2898
2020-4-1,15473,15473,3036
2020-4-2,16711,16711,3160
2020-4-3,17935,17935,3294
2020-4-4,19736,19736,3452
2020-4-5,19736,19736,3603
2020-4-6,24236,24236,3739
2020-4-7,27039,27039,3872
2020-4-8,29812,29812,3993
2020-4-9,32309,32309,4110
2020-4-10,35465,35465,4232
2020-4-11,41947,41947,4357
2020-4-12,43894,43894,4474
2020-4-13,45983,45983,4585
2020-4-14,48129,48129,4683
2020-4-15,49933,49933,4777
2020-4-16,52229,52229,4869
2020-4-17,54064,54064,4958
2020-4-18,55987,55987,5031
2020-4-19,57023,57023,5118
2020-4-20,59273,59273,5209
2020-4-21,60965,60965,5297
2020-4-22,63113,63113,5391
2020-4-23,64843,64843,5481
2020-4-24,66599,66599,5574
2020-4-25,68193,68193,5650
2020-4-26,69657,69657,5710
2020-4-27,70933,70933,5806
2020-4-28,72439,72439,5877
2020-4-29,73791,73791,5957
2020-4-30,75103,75103,6028
2020-5-1,76318,76318,6091
2020-5-2,77350,77350,6156
2020-5-3,78422,78422,6203
2020-5-4,79379,79379,6277
2020-5-5,80475,80475,6340
2020-5-6,81587,81587,6418
2020-5-7,82744,82744,6486
2020-5-8,83837,83837,6541
2020-5-9,85064,85064,6589
2020-5-10,86143,86143,6640
2020-5-11,87422,87422,6685
2020-5-12,88357,88357,6733
2020-5-13,89428,89428,6783
2020-5-14,90539,90539,6854
2020-5-15,91836,91836,6902
2020-5-16,93147,93147,6937
2020-5-17,94464,94464,6988
2020-5-18,95661,95661,7057
2020-5-19,97173,97173,7119
2020-5-20,98808,98808,7183
2020-5-21,100564,100564,7249
2020-5-22,102276,102276,7300
2020-5-23,104072,104072,7359
2020-5-24,105801,105801,7417
2020-5-25,107713,107713,7451
2020-5-26,109437,109437,7508
2020-5-27,111176,111176,7564
2020-5-28,112988,112988,7627
2020-5-29,114931,114931,7677
2020-5-30,116827,116827,7734
2020-5-31,118848,118848,7797
2020-6-1,121004,121004,7878
2020-6-2,123077,123077,7942
2020-6-3,125206,125206,8012
2020-6-4,127485,127485,8071
2020-6-5,129741,129741,8134
2020-6-6,132038,132038,8209
2020-6-7,134349,134349,8281
2020-6-8,136360,136360,8351
2020-6-9,138457,138457,8425
2020-6-10,140590,140590,8506
2020-6-11,142663,142663,8584
2020-6-12,144649,144649,8659
2020-6-13,146748,146748,8730
2020-6-14,148674,148674,8837
2020-6-15,150590,150590,8950
2020-6-16,152675,152675,9065
2020-6-17,154812,154812,9185
2020-6-18,156991,156991,9272
2020-6-19,159192,159192,9392
2020-6-20,161384,161384,9507
2020-6-21,163591,163591,9623
2020-6-22,166427,166427,9742
2020-6-23,169160,169160,9863
2020-6-24,172096,172096,9996
2020-6-25,175103,175103,10130
2020-6-26,177852,177852,10239
2020-6-27,180661,180661,10364
2020-6-28,183310,183310,10508
2020-6-29,186180,186180,10670
2020-6-30,188758,188758,10817
2020-7-1,191487,191487,10958
2020-7-2,194098,194098,11106
2020-7-3,196446,196446,11260
2020-7-4,198949,198949,11408
2020-7-5,201330,201330,11571
2020-7-6,204083,204083,11731
2020-7-7,207000,207000,11931
2020-7-8,209463,209463,12084
2020-7-9,212176,212176,12305
2020-7-10,215015,215015,12447
2020-7-11,217666,217666,12635
2020-7-12,219993,219993,12829
2020-7-13,222539,222539,13032
2020-7-14,225270,225270,13211
2020-7-15,227561,227561,13410
2020-7-16,230608,230608,13608
2020-7-17,232873,232873,13791
2020-7-18,235300,235300,13979
2020-7-19,237788,237788,14188
2020-7-20,240087,240087,14405
2020-7-21,242351,242351,14634
2020-7-22,244840,244840,14853
2020-7-23,247230,247230,15074
2020-7-24,249212,249212,15289
2020-7-25,251319,251319,15484
2020-7-26,253213,253213,15700
2020-7-27,255144,255144,15912
2020-7-28,257019,257019,16147
2020-7-29,259116,259116,16343
2020-7-30,261200,261200,16569
2020-7-31,263519,263519,16766
2020-8-1,265830,265830,16982
2020-8-2,268102,268102,17190
2020-8-3,270228,270228,17405
2020-8-4,272535,272535,17617
2020-8-5,274932,274932,17802
2020-8-6,277463,277463,17976
2020-8-7,279724,279724,18132
2020-8-8,282122,282122,18264
2020-8-9,284371,284371,18427
2020-8-10,286642,286642,18616
2020-8-11,288620,288620,18800
2020-8-12,290244,290244,18988
2020-8-13,292058,292058,19162
2020-8-14,293811,293811,19331
2020-8-15,295630,295630,19492
2020-8-16,297486,297486,19639
2020-8-17,299157,299157,19804
2020-8-18,300881,300881,19972
2020-8-19,302528,302528,20125
2020-8-20,304236,304236,20264
2020-8-21,305866,305866,20376
2020-8-22,307702,307702,20502
2020-8-23,309464,309464,20643
2020-8-24,311365,311365,20776
2020-8-25,313058,313058,20901
2020-8-26,314870,314870,21020
2020-8-27,316638,316638,21137
2020-8-28,318270,318270,21249
2020-8-29,319847,319847,21359
2020-8-30,321421,321421,21462
2020-8-31,323233,323233,21571
2020-9-1,325124,325124,21672
2020-9-2,326801,326801,21797
2020-9-3,328595,328595,21926
2020-9-4,330308,330308,22044
2020-9-5,332131,332131,22154
2020-9-6,333900,333900,22293
2020-9-7,335572,335572,22410
2020-9-8,337414,337414,22542
2020-9-9,339111,339111,22669
2020-9-10,340842,340842,22798
2020-9-11,342539,342539,22913
2020-9-12,344516,344516,23029
2020-9-13,346242,346242,23157
2020-9-14,348013,348013,23313
2020-9-15,349984,349984,23453
2020-9-16,352019,352019,23632
2020-9-17,353848,353848,23808
2020-9-18,355505,355505,23952
2020-9-19,357632,357632,24118
2020-9-20,359570,359570,24301
2020-9-21,361523,361523,24478
2020-9-22,363737,363737,24656
2020-9-23,365846,365846,24840
2020-9-24,367829,367829,25015
2020-9-25,369842,369842,25222
2020-9-26,372051,372051,25394
