date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,6,0,0
2020-3-9,7,0,0
2020-3-10,11,0,0
2020-3-11,11,0,0
2020-3-12,15,0,0
2020-3-13,28,0,0
2020-3-14,38,0,0
2020-3-15,43,0,0
2020-3-16,86,0,0
2020-3-17,117,1,0
2020-3-18,145,1,0
2020-3-19,234,1,0
2020-3-20,234,1,3
2020-3-21,318,1,5
2020-3-22,363,1,5
2020-3-23,395,1,5
2020-3-24,416,1,7
2020-3-25,480,1,9
2020-3-26,580,14,9
2020-3-27,635,16,11
2020-3-28,671,16,16
2020-3-29,852,16,18
2020-3-30,950,53,24
2020-3-31,1065,394,30
2020-4-1,1323,394,38
2020-4-2,1414,537,55
2020-4-3,1595,537,61
2020-4-4,1746,914,73
2020-4-5,2281,989,83
2020-4-6,2561,997,92
2020-4-7,2954,1301,107
2020-4-8,4342,1333,121
2020-4-9,5256,1438,138
2020-4-10,5897,1569,169
2020-4-11,6848,1739,181
2020-4-12,7519,1798,193
2020-4-13,9784,2642,216
2020-4-14,10303,2869,230
2020-4-15,11475,3108,254
2020-4-16,12491,6120,274
2020-4-17,13489,6541,300
2020-4-18,14420,6684,348
2020-4-19,15628,6811,400
2020-4-20,16325,6968,445
2020-4-21,17837,6982,484
2020-4-22,19250,7027,530
2020-4-23,20914,7422,572
2020-4-24,21648,7496,634
2020-4-25,25331,7797,700
2020-4-26,27517,8088,728
2020-4-27,28699,8425,782
2020-4-28,31190,9179,854
2020-4-29,33931,10037,943
2020-4-30,36976,10405,1051
2020-5-1,40459,11129,1124
2020-5-2,42534,12434,1200
2020-5-3,45928,13550,1286
2020-5-4,47372,14427,1344
2020-5-5,51189,15413,1444
2020-5-6,54817,17527,1533
2020-5-7,58526,18388,1627
2020-5-8,61847,19012,1714
2020-5-9,65015,20246,1814
2020-5-10,67307,21349,1889
2020-5-11,68822,22406,1961
2020-5-12,72059,23324,2057
2020-5-13,76306,24324,2169
2020-5-14,80604,25151,2267
2020-5-15,84495,27147,2392
2020-5-16,88541,28272,2523
2020-5-17,92273,28621,2648
2020-5-18,94933,30306,2789
2020-5-19,99483,36524,2914
2020-5-20,104020,41968,3024
2020-5-21,108769,43587,3148
2020-5-22,111698,44848,3244
2020-5-23,115754,47915,3373
2020-5-24,119959,49795,3456
2020-5-25,123979,50949,3629
2020-5-26,129751,52906,3788
2020-5-27,135905,56169,3983
2020-5-28,141779,59442,4099
2020-5-29,148285,62791,4230
2020-5-30,155671,66447,4371
2020-5-31,164476,67208,4506
2020-6-1,170039,68507,4634
2020-6-2,178165,69257,4767
2020-6-3,178914,72319,4894
2020-6-4,183198,76228,5031
2020-6-5,187400,79214,5162
2020-6-6,191758,82731,5301
2020-6-7,196515,86219,5465
2020-6-8,199696,89556,5571
2020-6-9,203736,92929,5738
2020-6-10,208823,98031,5903
2020-6-11,214788,102429,6088
2020-6-12,214788,107133,6088
2020-6-13,220749,111724,6308
2020-6-14,229736,115579,6688
2020-6-15,232992,119409,6860
2020-6-16,237156,125205,7056
2020-6-17,240908,128622,7257
2020-6-18,244388,131190,7461
2020-6-19,247925,135520,7660
2020-6-20,251338,143017,7861
2020-6-21,254936,141967,8045
2020-6-22,257447,145320,8223
2020-6-23,260810,148437,8404
2020-6-24,264689,151589,8586
2020-6-25,268602,151225,8761
2020-6-26,272364,159806,8939
2020-6-27,275989,164024,9135
2020-6-28,279419,167998,9317
2020-6-29,282365,171159,9504
2020-6-30,285213,174535,9677
2020-7-1,288477,178245,9860
2020-7-2,292004,182097,10045
2020-7-3,295599,185852,10226
2020-7-4,299080,189621,10412
2020-7-5,302718,193957,10589
2020-7-6,305703,197619,10772
2020-7-7,309278,200938,10952
2020-7-8,312911,204748,11133
2020-7-9,316448,207802,11314
2020-7-10,319646,210638,11500
2020-7-11,322710,214152,11682
2020-7-12,326326,217111,11870
2020-7-13,330123,221008,12054
2020-7-14,333867,223261,12229
2020-7-15,337751,226400,12417
2020-7-16,341586,230994,12615
2020-7-17,345537,233982,12799
2020-7-18,349500,238086,12998
2020-7-19,353590,241955,13187
2020-7-20,357681,245081,13384
2020-7-21,362087,248746,13579
2020-7-22,366550,252246,13767
2020-7-23,371096,255945,17654
2020-7-24,375961,259423,17843
2020-7-25,375961,259423,17843
2020-7-26,375961,267850,17843
2020-7-27,389717,272547,18418
2020-7-28,395005,276452,18612
2020-7-29,400683,280044,18816
2020-7-30,400683,283915,18816
2020-7-31,407492,283915,19021
2020-8-1,407492,287127,19021
2020-8-2,428850,294187,19614
2020-8-3,433100,298091,19811
2020-8-4,439890,302457,20007
2020-8-5,447624,306430,20228
2020-8-6,455409,310337,20424
2020-8-7,463875,314332,20649
2020-8-8,463875,319171,20649
2020-8-9,478024,324020,21072
2020-8-10,483133,324020,21276
2020-8-11,489680,329404,21501
2020-8-12,489680,341938,21501
2020-8-13,498555,341938,21713
2020-8-14,516296,354232,25856
2020-8-15,516296,359781,25856
2020-8-16,525803,365367,26075
2020-8-17,535946,370717,26281
2020-8-18,541493,374019,26481
2020-8-19,549321,377453,26658
2020-8-20,558420,380730,26834
2020-8-21,567059,380730,27034
2020-8-22,576067,380730,27245
2020-8-23,585236,399357,27453
2020-8-24,594326,399357,27663
2020-8-25,600438,414577,27813
2020-8-26,607382,414577,28001
2020-8-27,613378,421877,28124
2020-8-28,621997,429662,28277
2020-8-29,629961,438017,28471
2020-8-30,639435,446675,28607
2020-8-31,647166,455457,28788
2020-9-1,652037,471599,28944
2020-9-2,657129,480177,29068
2020-9-3,657129,480177,29068
2020-9-4,670145,498523,29405
2020-9-5,676848,498523,29554
2020-9-6,683702,506422,29687
2020-9-7,689977,522251,29838
2020-9-8,691575,522251,29976
2020-9-9,696190,536959,30123
2020-9-10,702776,536959,30236
2020-9-11,710067,544745,30344
2020-9-12,716670,559321,30470
2020-9-13,722832,559321,30526
2020-9-14,729619,566796,30710
2020-9-15,733860,573364,30812
2020-9-16,738020,580753,30927
2020-9-17,744400,594513,31051
2020-9-18,750098,594513,31146
2020-9-19,756412,594513,31283
2020-9-20,762865,607837,31369
2020-9-21,768895,607837,31369
2020-9-22,768895,607837,31369
2020-9-23,776546,636489,31568
2020-9-24,782695,636489,31870
2020-9-25,794584,636489,32037
2020-9-26,794584,657836,32037
2020-9-27,800142,657836,32142
2020-9-28,805302,664490,32262
2020-9-29,808714,670989,32324
2020-9-30,811768,676925,32396
