date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,5,0,0
2020-3-7,5,0,0
2020-3-8,11,0,0
2020-3-9,16,0,0
2020-3-10,22,0,0
2020-3-11,31,0,0
2020-3-12,49,0,1
2020-3-13,68,0,2
2020-3-14,103,0,3
2020-3-15,119,0,3
2020-3-16,177,13,4
2020-3-17,238,13,5
2020-3-18,251,13,5
2020-3-19,355,1,5
2020-3-20,425,1,5
2020-3-21,536,1,5
2020-3-22,634,1,7
2020-3-23,749,1,8
2020-3-24,901,1,10
2020-3-25,1051,7,14
2020-3-26,1221,7,16
2020-3-27,1389,7,16
2020-3-28,1638,7,18
2020-3-29,1862,7,22
2020-3-30,2055,7,31
2020-3-31,2311,7,33
2020-4-1,2554,47,43
2020-4-2,2946,56,57
2020-4-3,3383,56,71
2020-4-4,3627,116,79
2020-4-5,4102,134,94
2020-4-6,4413,162,107
2020-4-7,4848,191,129
2020-4-8,5205,222,159
2020-4-9,5575,284,174
2020-4-10,5955,318,181
2020-4-11,6356,375,208
2020-4-12,6674,439,232
2020-4-13,6934,487,245
2020-4-14,7202,618,263
2020-4-15,7582,668,286
2020-4-16,7918,774,314
2020-4-17,8379,866,332
2020-4-18,8742,981,347
2020-4-19,9287,1040,360
2020-4-20,9593,1133,380
2020-4-21,9856,1297,401
2020-4-22,10169,1513,426
2020-4-23,10511,1740,454
2020-4-24,10892,1944,494
2020-4-25,11273,2126,524
2020-4-26,11617,2265,535
2020-4-27,11902,2466,562
2020-4-28,12218,2655,596
2020-4-29,12640,3025,624
2020-4-30,12877,3236,644
2020-5-1,13105,3491,651
2020-5-2,13375,3762,664
2020-5-3,13693,3945,678
2020-5-4,14006,4095,698
2020-5-5,14431,4280,716
2020-5-6,14740,4655,733
2020-5-7,15047,4862,755
2020-5-8,15366,5184,776
2020-5-9,15651,5437,785
2020-5-10,15996,5698,800
2020-5-11,16326,5816,811
2020-5-12,16921,6131,839
2020-5-13,17204,6410,861
2020-5-14,17615,6696,883
2020-5-15,18016,6918,907
2020-5-16,18257,7175,915
2020-5-17,18529,7451,925
2020-5-18,18885,7628,936
2020-5-19,19268,7903,948
2020-5-20,19739,8183,962
2020-5-21,20143,8452,972
2020-5-22,20619,8731,982
2020-5-23,20931,8977,993
2020-5-24,21326,9194,996
2020-5-25,21631,9276,1007
2020-5-26,22074,10020,1024
2020-5-27,22473,10330,1028
2020-5-28,22825,10560,1038
2020-5-29,23155,10692,1051
2020-5-30,23571,11016,1061
2020-5-31,23786,11271,1064
2020-6-1,24165,11449,1074
2020-6-2,24395,11726,1092
2020-6-3,24687,12014,1115
2020-6-4,25048,12227,1117
2020-6-5,25410,12410,1137
2020-6-6,25986,12641,1153
2020-6-7,26561,12855,1157
2020-6-8,27160,12998,1166
2020-6-9,27560,13196,1183
2020-6-10,27842,13411,1206
2020-6-11,28201,13696,1215
2020-6-12,28577,13805,1222
2020-6-13,29017,14104,1237
2020-6-14,29392,14226,1247
2020-6-15,29788,14383,1256
2020-6-16,30195,14654,1272
2020-6-17,30701,14921,1286
2020-6-18,31015,15317,1316
2020-6-19,31316,15698,1334
2020-6-20,31620,16181,1346
2020-6-21,31931,16683,1356
2020-6-22,32227,17076,1359
2020-6-23,32527,17573,1375
2020-6-24,32821,18134,1396
2020-6-25,33119,18654,1412
2020-6-26,33395,19218,1429
2020-6-27,33714,19972,1435
2020-6-28,33907,20548,1438
2020-6-29,34154,20897,1444
2020-6-30,34393,21281,1463
2020-7-1,34775,21791,1477
2020-7-2,35146,22209,1492
2020-7-3,35405,22651,1507
2020-7-4,35719,23127,1512
2020-7-5,35950,23746,1517
2020-7-6,36155,23966,1521
2020-7-7,36412,24238,1528
2020-7-8,36689,24878,1542
2020-7-9,36951,25477,1551
2020-7-10,37216,26048,1562
2020-7-11,37521,26635,1568
2020-7-12,37891,27148,1571
2020-7-13,38190,27515,1576
2020-7-14,38457,27756,1588
2020-7-15,38721,28492,1594
2020-7-16,39054,28928,1605
2020-7-17,39407,29505,1612
2020-7-18,39746,29924,1618
2020-7-19,40104,30292,1624
2020-7-20,40383,30539,1627
2020-7-21,40782,30771,1636
2020-7-22,41162,31139,1642
2020-7-23,41580,31541,1651
2020-7-24,42038,31997,1655
2020-7-25,42622,32419,1664
2020-7-26,43065,32753,1671
2020-7-27,43402,32856,1676
2020-7-28,43904,33043,1682
2020-7-29,44416,33190,1694
2020-7-30,45031,33643,1709
2020-7-31,45688,33987,1716
2020-8-1,46346,34374,1721
2020-8-2,46894,34709,1731
2020-8-3,47469,34881,1732
2020-8-4,48149,35056,1738
2020-8-5,48789,35321,1756
2020-8-6,49515,35642,1774
2020-8-7,50324,36041,1787
2020-8-8,51167,36403,1800
2020-8-9,51791,36691,1807
2020-8-10,52410,36877,1809
2020-8-11,52961,37150,1821
2020-8-12,53676,37611,1830
2020-8-13,54487,37961,1844
2020-8-14,55319,38362,1858
2020-8-15,56090,38853,1869
2020-8-16,56684,39130,1877
2020-8-17,57279,39359,1885
2020-8-18,57876,39643,1896
2020-8-19,58611,40099,1913
2020-8-20,59378,40481,1925
2020-8-21,60281,41029,1938
2020-8-22,61181,41661,1951
2020-8-23,61762,42183,1955
2020-8-24,62310,42448,1960
2020-8-25,63073,42784,1977
2020-8-26,63802,43399,1994
2020-8-27,64689,44097,2010
2020-8-28,65480,44785,2018
2020-8-29,66239,45536,2032
2020-8-30,66870,46192,2033
2020-8-31,67372,46638,2039
2020-9-1,67922,47030,2058
2020-9-2,68517,47865,2078
2020-9-3,69129,48593,2092
2020-9-4,69820,49820,2100
2020-9-5,70387,52346,2113
2020-9-6,70824,54256,2120
2020-9-7,71126,55113,2124
2020-9-8,71526,55910,2136
2020-9-9,71947,57135,2147
2020-9-10,72453,58069,2159
2020-9-11,73047,58848,2169
2020-9-12,73650,59725,2182
2020-9-13,74152,60659,2188
2020-9-14,74529,61097,2203
2020-9-15,75134,61548,2227
2020-9-16,75734,62110,2237
2020-9-17,76571,62725,2253
2020-9-18,77328,63312,2270
2020-9-19,78330,63861,2282
2020-9-20,79240,64302,2293
2020-9-21,79988,64604,2298
2020-9-22,80699,64972,2316
2020-9-23,81673,65561,2344
2020-9-24,82809,66158,2369
2020-9-25,84396,66740,2392
2020-9-26,85980,67326,2424
2020-9-27,87330,67904,2432
2020-9-28,88636,68420,2447
2020-9-29,89962,68955,2483
2020-9-30,91514,69695,2513
