date,confirmedCount,curedCount,deadCount
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,2,0,0
2020-3-19,2,0,0
2020-3-20,2,0,0
2020-3-21,2,0,0
2020-3-22,3,0,0
2020-3-23,3,0,0
2020-3-24,3,0,0
2020-3-25,12,0,0
2020-3-26,16,0,0
2020-3-27,22,0,0
2020-3-28,28,0,0
2020-3-29,29,0,0
2020-3-30,35,0,0
2020-3-31,35,0,0
2020-4-1,36,0,0
2020-4-2,39,0,1
2020-4-3,39,2,1
2020-4-4,39,2,1
2020-4-5,39,3,1
2020-4-6,39,5,1
2020-4-7,39,7,1
2020-4-8,39,7,1
2020-4-9,39,24,1
2020-4-10,40,25,2
2020-4-11,40,28,2
2020-4-12,43,30,2
2020-4-13,45,30,2
2020-4-14,45,30,2
2020-4-15,48,30,2
2020-4-16,48,30,2
2020-4-17,52,30,2
2020-4-18,57,33,2
2020-4-19,61,33,3
2020-4-20,65,35,3
2020-4-21,70,35,3
2020-4-22,74,35,3
2020-4-23,76,37,3
2020-4-24,84,37,3
2020-4-25,84,37,3
2020-4-26,88,42,3
2020-4-27,88,42,3
2020-4-28,95,42,3
2020-4-29,97,54,3
2020-4-30,106,55,3
2020-5-1,109,74,3
2020-5-2,119,75,3
2020-5-3,124,78,3
2020-5-4,137,78,3
2020-5-5,138,92,3
2020-5-6,146,101,4
2020-5-7,153,103,4
2020-5-8,167,111,4
2020-5-9,252,112,7
2020-5-10,267,117,7
2020-5-11,267,117,7
2020-5-12,441,117,7
2020-5-13,446,124,7
2020-5-14,654,124,7
2020-5-15,654,124,7
2020-5-16,679,183,7
2020-5-17,753,188,7
2020-5-18,761,192,7
2020-5-19,772,192,7
2020-5-20,832,197,7
2020-5-21,866,302,7
2020-5-22,920,336,7
2020-5-23,920,336,7
2020-5-24,920,336,7
2020-5-25,920,336,7
2020-5-26,920,336,7
2020-5-27,1057,779,7
2020-5-28,1057,779,7
2020-5-29,1057,779,7
2020-5-30,1057,779,7
2020-5-31,1057,779,7
2020-6-1,1089,912,7
2020-6-2,1089,912,7
2020-6-3,1089,912,7
2020-6-4,1089,912,7
2020-6-5,1089,912,7
2020-6-6,1089,912,7
2020-6-7,1089,912,7
2020-6-8,1200,912,10
2020-6-9,1200,912,10
2020-6-10,1200,912,10
2020-6-11,1200,912,10
2020-6-12,1321,1104,10
2020-6-13,1357,1104,10
2020-6-14,1358,1122,11
2020-6-15,1382,1142,11
2020-6-16,1405,1142,11
2020-6-17,1412,1142,11
2020-6-18,1416,1144,11
2020-6-19,1430,1194,11
2020-6-20,1430,1194,11
2020-6-21,1430,1194,11
2020-6-22,1430,1194,11
2020-6-23,1477,1213,18
2020-6-24,1489,1223,18
2020-6-25,1497,1223,18
2020-6-26,1531,1233,21
2020-6-27,1531,1233,21
2020-6-28,1557,1311,22
2020-6-29,1568,1311,22
2020-6-30,1594,1329,24
2020-7-1,1632,1348,30
2020-7-2,1632,1348,30
2020-7-3,1632,1348,30
2020-7-4,1632,1348,30
2020-7-5,1632,1348,30
2020-7-6,1632,1348,30
2020-7-7,1895,1348,42
2020-7-8,1895,1348,42
2020-7-9,1895,1348,42
2020-7-10,1895,1348,42
2020-7-11,1895,1348,42
2020-7-12,1895,1412,42
2020-7-13,1895,1412,42
2020-7-14,1895,1412,42
2020-7-15,1895,1412,42
2020-7-16,1895,1412,42
2020-7-17,2810,1450,109
2020-7-18,2980,1462,120
2020-7-19,2980,1462,120
2020-7-20,3326,1620,128
2020-7-21,3386,1620,128
2020-7-22,3583,1677,128
2020-7-23,3789,1677,134
2020-7-24,3856,1677,136
2020-7-25,4328,1953,139
2020-7-26,4481,2350,139
2020-7-27,4552,2815,140
2020-7-28,5002,3195,142
2020-7-29,5249,3285,146
2020-7-30,5555,3289,149
2020-7-31,5963,3803,151
2020-8-1,6228,4130,165
2020-8-2,6347,4493,170
2020-8-3,6580,4701,171
2020-8-4,6793,5109,173
2020-8-5,7022,5667,176
2020-8-6,7164,5786,199
2020-8-7,7486,6264,200
2020-8-8,7903,6431,203
2020-8-9,8085,6698,235
2020-8-10,8210,6802,241
2020-8-11,8275,7004,241
2020-8-12,8501,7233,246
2020-8-13,8663,7401,246
2020-8-14,9021,7586,256
2020-8-15,9186,8065,260
2020-8-16,9343,8412,260
2020-8-17,9839,8575,264
2020-8-18,9981,8776,264
2020-8-19,10218,9126,269
2020-8-20,10372,9126,274
2020-8-21,10627,9126,277
2020-8-22,10831,9942,279
2020-8-23,11082,9942,280
2020-8-24,11148,10208,280
2020-8-25,11285,10400,282
2020-8-26,11376,10693,282
2020-8-27,11601,10840,282
2020-8-28,11779,10945,283
2020-8-29,11902,11092,284
2020-8-30,12025,11454,287
2020-8-31,12097,11469,288
2020-9-1,12381,11479,290
2020-9-2,12415,11494,292
2020-9-3,12523,11562,292
2020-9-4,12639,11572,292
2020-9-5,12709,11668,292
2020-9-6,12776,11674,295
2020-9-7,12836,11748,295
2020-9-8,12952,11787,297
2020-9-9,13112,11839,300
2020-9-10,13214,11899,300
2020-9-11,13323,11899,306
2020-9-12,13466,12007,312
2020-9-13,13539,12260,312
2020-9-14,13720,12380,320
2020-9-15,13819,12590,324
2020-9-16,13887,12869,326
2020-9-17,13928,13029,326
2020-9-18,14022,13207,329
2020-9-19,14070,13365,330
2020-9-20,14131,13365,330
2020-9-21,14175,13629,331
2020-9-22,14389,13629,331
2020-9-23,14443,13629,332
2020-9-24,14491,13643,332
2020-9-25,14515,13643,332
2020-9-26,14612,13727,332
2020-9-27,14641,13784,332
2020-9-28,14660,13821,332
2020-9-29,14715,13937,332
2020-9-30,14759,13959,332
