"date	",confirmedCount ,suspectedCount  ,curedCount,deadCount
2020-1-23,0,,0,0
2020-1-24,0,,0,0
2020-1-25,0,,0,0
2020-1-26,0,,0,0
2020-1-27,0,,0,0
2020-1-28,0,,0,0
2020-1-29,0,,0,0
2020-1-30,0,,0,0
2020-1-31,0,,0,0
2020-2-1,1,,0,0
2020-2-2,1,,0,0
2020-2-3,1,,0,0
2020-2-4,1,,0,0
2020-2-5,1,,0,0
2020-2-6,1,,0,0
2020-2-7,1,,0,0
2020-2-8,1,,0,0
2020-2-9,2,,0,0
2020-2-10,2,,0,0
2020-2-11,2,,0,0
2020-2-12,2,,0,0
2020-2-13,2,,0,0
2020-2-14,2,,0,0
2020-2-15,2,,2,0
2020-2-16,2,,2,0
2020-2-17,2,,2,0
2020-2-18,2,,2,0
2020-2-19,2,,2,0
2020-2-20,2,,2,0
2020-2-21,2,,2,0
2020-2-22,2,,2,0
2020-2-23,2,,2,0
2020-2-24,2,,2,0
2020-2-25,6,,2,0
2020-2-26,13,,2,0
2020-2-27,15,,2,0
2020-2-28,32,,2,0
2020-2-29,45,,2,0
2020-3-1,84,,2,0
2020-3-2,120,,2,0
2020-3-3,165,,2,1
2020-3-4,222,,2,2
"2020-3-5	",259,,2,3
2020-3-6,400,,2,5
2020-3-7,500,,30,10
2020-3-8,673,,30,17
2020-3-9,1073,,32,28
2020-3-10,1695,,32,35
2020-3-11,2277,,183,54
2020-3-12,2277,,183,55
2020-3-13,5232,,193,133
2020-3-14,6391,,517,195
2020-3-15,7798,,517,289
2020-3-16,9942,,530,342
2020-3-17,11748,,1028,533
2020-3-18,13910,,1081,623
2020-3-19,17963,,1107,830
2020-3-20,20410,,1588,1043
2020-3-21,25374,,2125,1375
2020-3-22,28768,,2575,1772
