"date	",confirmedCount,suspectedCount, curedCount ,deadCount
23-Jan,1,,0,0
24-Jan,2,,0,0
25-Jan,2,,0,0
26-Jan,5,,0,0
27-Jan,5,,0,0
28-Jan,5,,0,0
29-Jan,5,,0,0
30-Jan,5,,0,0
31-Jan,7,,0,0
1-Feb,8,,0,0
2-Feb,8,,0,0
3-Feb,11,,0,0
4-Feb,11,,0,0
5-Feb,12,,0,0
6-Feb,12,,0,0
7-Feb,12,,0,0
8-Feb,12,,0,0
9-Feb,12,,3,0
10-Feb,12,,3,0
11-Feb,13,,3,0
12-Feb,13,,3,0
13-Feb,15,,3,0
14-Feb,15,,3,0
15-Feb,15,,3,0
16-Feb,15,,3,0
17-Feb,15,,3,0
18-Feb,15,,3,0
19-Feb,15,,3,0
20-Feb,15,,3,0
21-Feb,35,,5,0
22-Feb,35,,5,0
23-Feb,35,,5,0
24-Feb,53,,5,0
25-Feb,53,,6,0
26-Feb,59,,6,0
27-Feb,60,,6,0
28-Feb,62,,7,0
29-Feb,70,,7,1
1-Mar,76,,7,1
2-Mar,101,,7,6
3-Mar,121,,8,7
4-Mar,152,,8,11
"2020-3-5	",220,,8,12
2020-3-6,277,,8,14
2020-3-7,416,,8,17
2020-3-8,538,,8,21
2020-3-9,583,,8,22
2020-3-10,959,,8,28
2020-3-11,1281,,8,36
2020-3-12,1663,,12,40
2020-3-13,2179,,12,47
2020-3-14,2727,,12,54
2020-3-15,3499,,12,63
2020-3-16,4632,,17,85
2020-3-17,6421,,17,108
2020-3-18,7783,,89,118
2020-3-19,13677,,106,200
2020-3-20,19100,,147,244
2020-3-21,25489,,156,307
2020-3-22,33272,,178,417
